Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed
1,Stephen Curry,GSW,59606817,62587158,,,,,"$122,193,975"
2,Joel Embiid,PHI,55224526,57985752,"$62,624,612","$67,263,472",,,"$175,834,890"
3,Nikola Jokić,DEN,55224526,59033114,"$62,841,702",,,,"$114,257,640"
5,Jayson Tatum,BOS,54126450,58456566,"$62,786,682","$67,116,798","$71,446,914",,"$242,486,496"
6,Giannis Antetokounmpo,MIL,54126450,58456566,"$62,786,682",,,,"$112,583,016"
7,Anthony Davis,DAL,54126450,58456566,"$62,786,682",,,,"$112,583,016"
8,Jimmy Butler,GSW,54126450,56832773,,,,,"$110,959,223"
11,Jaylen Brown,BOS,53142264,57078728,"$61,015,192","$64,951,656",,,"$236,187,840"
12,Devin Booker,PHO,53142264,57078728,"$61,015,192",,,,"$171,236,184"
13,Karl-Anthony Towns,NYK,53142264,57078728,"$61,015,192",,,,"$110,220,992"
15,Paul George,PHI,51666090,54126380,"$56,586,670",,,,"$105,792,470"
16,Kawhi Leonard,LAC,50000000,50300000,,,,,"$100,300,000"
17,Zach LaVine,SAC,47499660,48967380,,,,,"$47,499,660"
18,Evan Mobley,CLE,46394100,50105628,"$53,817,156","$57,528,684","$51,033,510",,"$258,879,078"
19,Jamal Murray,DEN,46394100,50105628,"$53,817,156","$57,528,684",,,"$207,845,568"
20,Lauri Markkanen,UTA,46394100,46113154,"$49,824,681","$53,536,209",,,"$195,868,144"
21,Donovan Mitchell,CLE,46394100,50105628,"$53,817,156",,,,"$96,499,728"
22,Luka Dončić,LAL,45999660,48967380,,,,,"$45,999,660"
23,Trae Young,ATL,45999660,48967380,,,,,"$45,999,660"
24,Anthony Edwards,MIN,45550512,48924624,"$52,298,736","$55,672,848",,,"$202,446,720"
25,Tyrese Haliburton,IND,45550512,48924624,"$52,298,736","$55,672,848",,,"$202,446,720"
26,Pascal Siakam,IND,45550512,48924624,"$52,298,736",,,,"$146,773,872"
27,Domantas Sabonis,SAC,43636000,46772000,"$49,908,000",,,,"$140,316,000"
28,OG Anunoby,NYK,39568966,42500000,"$45,431,034","$48,362,068",,,"$127,500,000"
29,Zion Williamson,NOP,39446090,42166510,"$44,886,930",,,,"$126,499,530"
30,Ja Morant,MEM,39446090,42166510,"$44,886,930",,,,"$126,499,530"
31,Darius Garland,CLE,39446090,42166510,"$44,886,930",,,,"$126,499,530"
32,Scottie Barnes,TOR,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
33,Franz Wagner,ORL,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
34,Cade Cunningham,DET,38661750,41754690,"$44,847,630","$47,940,570","$51,033,510",,"$224,238,150"
35,Shai Gilgeous-Alexander,OKC,38333050,40806150,,,,,"$79,139,200"
36,Michael Porter Jr.,BRK,38333050,40806150,,,,,"$50,333,050"
37,Brandon Ingram,TOR,38095238,40000000,"$41,904,762",,,,"$78,095,238"
38,Tyrese Maxey,PHI,37958760,40770520,"$43,582,280","$46,394,040",,,"$168,705,600"
39,LaMelo Ball,CHO,37958760,40770520,"$43,582,280","$46,394,040",,,"$168,705,600"
40,Bam Adebayo,MIA,37096620,48713700,"$52,610,796","$56,507,892",,,"$138,421,116"
42,Desmond Bane,ORL,36725670,39446090,"$42,166,510","$44,886,930",,,"$163,225,200"
44,Jalen Suggs,ORL,35000000,32400000,"$29,600,000","$26,800,000","$26,700,000",,"$123,800,000"
45,Rudy Gobert,MIN,35000000,36500000,"$38,000,000",,,,"$71,500,000"
47,Jalen Brunson,NYK,34944001,37739521,"$40,535,041","$43,330,561",,,"$113,218,563"
48,Alperen Şengün,HOU,33944954,35642202,"$37,339,450","$39,036,697","$39,036,697",,"$145,963,303"
49,Jalen Green,PHO,33333333,36000000,"$36,000,000",,,,"$69,333,333"
51,Immanuel Quickley,TOR,32500000,32500000,"$32,500,000","$32,500,000",,,"$130,000,000"
52,Jrue Holiday,POR,32400000,34800000,"$37,200,000",,,,"$67,200,000"
53,Jerami Grant,POR,32000001,34206898,"$36,413,790",,,,"$66,206,899"
54,Jordan Poole,NOP,31848215,34044642,,,,,"$65,892,857"
55,Dejounte Murray,NOP,31557103,33597072,"$31,619,506",,,,"$65,154,175"
56,Tyler Herro,MIA,31000000,33000000,,,,,"$64,000,000"
59,Jalen Johnson,ATL,30000000,30000000,"$30,000,000","$30,000,000","$30,000,000",,"$150,000,000"
60,Isaiah Hartenstein,OKC,28500000,28500000,,,,,"$28,500,000"
61,Andrew Wiggins,MIA,28223215,30169644,,,,,"$28,223,215"
62,Derrick White,BOS,28100000,30348000,"$32,596,000","$34,844,000",,,"$91,044,000"
63,RJ Barrett,TOR,27705357,29616071,,,,,"$57,321,428"
65,Devin Vassell,SAS,27000000,27000000,"$24,652,174","$27,000,000",,,"$105,652,174"
69,Draymond Green,GSW,25892857,27678571,,,,,"$53,571,428"
70,Nic Claxton,BRK,25352272,23147727,"$20,943,184",,,,"$69,443,183"
71,Trey Murphy III,NOP,25000000,27000000,"$29,000,000","$31,000,000",,,"$112,000,000"
72,Miles Bridges,CHO,25000000,22826087,,,,,"$47,826,087"
74,Jaden McDaniels,MIN,24858622,26700001,"$28,541,380","$30,382,755",,,"$110,482,758"
75,DeMar DeRozan,SAC,24570000,25740000,,,,,"$24,570,000"
76,De'Andre Hunter,CLE,23303571,24910714,,,,,"$48,214,285"
77,Aaron Gordon,DEN,22841455,31978037,"$34,536,280","$37,094,523",,,"$89,355,772"
78,Kyle Kuzma,MIL,22410605,20345152,,,,,"$42,755,757"
79,Kentavious Caldwell-Pope,MEM,21621500,21621500,,,,,"$21,621,500"
82,Dillon Brooks,PHO,21124110,19992727,,,,,"$41,116,837"
83,Cameron Johnson,DEN,20543478,22500000,,,,,"$43,043,478"
85,Jarrett Allen,CLE,20000000,28000000,"$30,240,000","$32,480,000",,,"$110,720,000"
86,Jakob Poeltl,TOR,19500000,19500000,,,,,"$39,000,000"
87,Josh Hart,NYK,19472240,20923760,"$22,375,280",,,,"$40,396,000"
91,Malik Monk,SAC,18797619,20190035,"$21,582,451",,,,"$38,987,654"
93,Alex Caruso,OKC,18102000,19550160,"$20,998,320","$22,446,480",,,"$81,096,960"
94,Ivica Zubac,LAC,18102000,19550160,"$20,998,320",,,,"$58,650,480"
95,Andrew Nembhard,IND,18102000,19550160,"$20,998,320",,,,"$58,650,480"
97,Patrick Williams,CHI,18000000,18000000,"$18,000,000","$18,000,000",,,"$54,000,000"
99,Luguentz Dort,OKC,17722222,17722222,,,,,"$17,722,222"
100,Keldon Johnson,SAS,17500000,17500000,,,,,"$35,000,000"
101,Grayson Allen,PHO,16875000,18125000,"$19,375,000",,,,"$35,000,000"
102,Klay Thompson,DAL,16666667,17460317,,,,,"$34,126,984"
103,Bogdan Bogdanović,LAC,16020000,16020000,,,,,"$16,020,000"
104,Max Strus,CLE,15936452,16660836,,,,,"$32,597,288"
105,Terance Mann,BRK,15500000,15500000,"$16,000,000",,,,"$47,000,000"
107,Onyeka Okongwu,ATL,15000000,16120000,"$16,880,000",,,,"$48,000,000"
108,Jonathan Isaac,ORL,15000000,14500000,"$14,500,000","$15,000,000",,,"$44,000,000"
109,Isaiah Stewart,DET,15000000,15000000,"$15,000,000",,,,"$30,000,000"
111,Deni Avdija,POR,14375000,13125000,"$11,875,000",,,,"$39,375,000"
114,Obi Toppin,IND,14000000,15000000,"$16,025,000",,,,"$45,025,000"
115,Corey Kispert,WAS,13975000,13975000,"$13,050,000","$13,050,000",,,"$41,000,000"
116,Herbert Jones,NOP,13937574,14898786,,,,,"$28,836,360"
117,Austin Reaves,LAL,13937574,14898786,,,,,"$13,937,574"
118,Cooper Flagg,DAL,13825920,14517480,"$15,208,680","$19,178,146",,,"$28,343,400"
120,Josh Green,CHO,13666667,14679012,,,,,"$28,345,679"
121,Grant Williams,CHO,13645500,14265750,,,,,"$27,911,250"
123,Victor Wembanyama,SAS,13376880,16868246,,,,,"$13,376,880"
125,Zaccharie Risacher,ATL,13197720,13826040,"$17,434,637",,,,"$13,197,720"
129,Brandon Clarke,MEM,12500000,12500000,,,,,"$25,000,000"
130,Dylan Harper,SAS,12370320,12989040,"$13,607,760","$17,172,994",,,"$25,359,360"
131,Isaiah Joe,OKC,12362338,11323006,"$11,323,006",,,,"$23,685,344"
133,Donte DiVincenzo,MIN,11990000,12535000,,,,,"$24,525,000"
134,Brandon Miller,CHO,11968800,15104626,,,,,"$11,968,800"
135,Alex Sarr,WAS,11808240,12370680,"$15,611,798",,,,"$11,808,240"
136,Moses Moody,GSW,11574075,12500000,"$13,425,925",,,,"$37,500,000"
137,Jarred Vanderbilt,LAL,11571429,12428571,"$13,285,714",,,,"$24,000,000"
141,VJ Edgecombe,PHI,11108880,11663880,"$12,219,720","$15,445,727",,,"$22,772,760"
142,Luke Kornet,SAS,11000000,10450000,"$9,900,000","$9,350,000",,,"$24,000,000"
143,Isaac Okoro,CHI,11000000,11814814,,,,,"$22,814,814"
144,Aaron Nesmith,IND,11000000,11000000,,,,,"$22,000,000"
146,Wendell Carter Jr.,ORL,10850000,18102000,"$19,550,160","$20,998,320",,,"$48,502,160"
148,Scoot Henderson,POR,10748040,13585523,,,,,"$10,748,040"
149,Reed Sheppard,HOU,10603560,11108880,"$14,041,625",,,,"$10,603,560"
150,Jonas Valančiūnas,DEN,10395000,10000000,,,,,"$10,395,000"
151,T.J. McConnell,IND,10200000,11000000,"$11,800,000","$11,800,000",,,"$33,000,000"
152,Royce O'Neale,PHO,10125000,10875000,"$11,625,000",,,,"$32,625,000"
154,Sam Hauser,BOS,10044644,10848215,"$11,651,785","$12,455,356",,,"$45,000,000"
155,Kon Knueppel,CHO,10015680,10516560,"$11,017,560","$13,937,214",,,"$20,532,240"
156,Derrick Jones Jr.,LAC,10000000,10476190,,,,,"$20,476,190"
157,Lonzo Ball,CLE,10000000,10000000,,,,,"$10,000,000"
159,Amen Thompson,HOU,9690600,12258609,,,,,"$9,690,600"
160,Aaron Wiggins,OKC,9672897,8831776,"$7,990,655","$7,990,655",,,"$34,485,983"
161,Caleb Martin,DAL,9594044,10001493,"$9,371,351",,,,"$19,595,537"
162,Stephon Castle,SAS,9560520,10015920,"$12,670,139",,,,"$9,560,520"
164,Buddy Hield,GSW,9219512,9658536,"$10,097,560",,,,"$18,878,048"
165,Kyle Anderson,UTA,9219512,9658536,,,,,"$9,219,512"
167,Ace Bailey,UTA,9069840,9523080,"$9,976,560","$12,640,302",,,"$18,592,920"
168,Naji Marshall,DAL,9000000,9428571,,,,,"$18,428,571"
169,Jalen Smith,CHI,9000000,9428571,,,,,"$18,428,571"
170,Ausar Thompson,DET,8775000,11117925,,,,,"$8,775,000"
171,Ron Holland,DET,8657280,9069600,"$11,491,183",,,,"$8,657,280"
174,Goga Bitadze,ORL,8333333,7608696,,,,,"$15,942,029"
177,Zeke Nnaji,DEN,8177778,7466667,"$7,466,667",,,,"$15,644,445"
181,Anthony Black,ORL,7970280,10106316,,,,,"$7,970,280"
182,Tidjane Salaün,CHO,7863240,8237880,"$10,445,633",,,,"$7,863,240"
183,Max Christie,DAL,7714286,8285714,"$8,857,143",,,,"$16,000,000"
185,Jeremiah Fears,NOP,7520040,7896240,"$8,271,960","$10,505,389",,,"$15,416,280"
187,Bilal Coulibaly,WAS,7275600,9240012,,,,,"$7,275,600"
188,Payton Pritchard,BOS,7232143,7767857,"$8,303,571",,,,"$23,303,571"
189,Donovan Clingan,POR,7178400,7519920,"$9,550,298",,,,"$7,178,400"
190,Kenrich Williams,OKC,7163000,7163000,,,,,"$7,163,000"
192,Egor Demin,BRK,6889200,7233720,"$7,578,240","$9,639,522",,,"$14,122,920"
195,Jarace Walker,IND,6665520,8478542,,,,,"$6,665,520"
198,Rob Dillingham,MIN,6576120,6889320,"$8,763,216",,,,"$6,576,120"
201,Collin Murray-Boyles,TOR,6332520,6649560,"$6,966,000","$8,874,684",,,"$12,982,080"
203,John Konchar,MEM,6165000,6165000,,,,,"$12,330,000"
204,Taylor Hendricks,UTA,6127080,7805900,,,,,"$6,127,080"
205,Saddiq Bey,NOP,6118644,6440678,,,,,"$12,559,322"
206,Zach Edey,MEM,6045000,6332760,"$8,067,937",,,,"$6,045,000"
207,Khaman Maluach,PHO,6016080,6316680,"$6,617,160","$8,436,880",,,"$12,332,760"
208,Jaden Hardy,DAL,6000000,6000000,"$6,000,000",,,,"$12,000,000"
209,Cason Wallace,OKC,5820240,7420806,,,,,"$5,820,240"
210,Cody Williams,UTA,5742480,6015600,"$7,669,890",,,,"$5,742,480"
211,Cedric Coward,MEM,5715120,6001080,"$6,286,920","$8,342,743",,,"$11,716,200"
214,Jett Howard,ORL,5529720,7337939,,,,,"$5,529,720"
215,Matas Buzelis,CHI,5455560,5715360,"$7,584,283",,,,"$5,455,560"
216,Noa Essengue,CHI,5429520,5701200,"$5,972,760","$8,230,464",,,"$11,130,720"
218,Kris Dunn,LAC,5426400,5684800,,,,,"$5,426,400"
220,Dereck Lively II,DAL,5253360,7239131,,,,,"$5,253,360"
221,Nikola Topić,OKC,5182920,5429760,"$7,482,210",,,,"$5,182,920"
222,Derik Queen,NOP,5157960,5416080,"$5,673,840","$8,107,918",,,"$10,574,040"
226,Gradey Dick,TOR,4990560,7131511,,,,,"$4,990,560"
228,Devin Carter,SAC,4923720,5158080,"$7,370,897",,,,"$4,923,720"
230,Carter Bryant,SAS,4900320,5145360,"$5,390,640","$7,983,539",,,"$10,045,680"
232,Jordan Hawkins,NOP,4741320,7021895,,,,,"$4,741,320"
234,Bub Carrington,WAS,4677600,4900560,"$7,257,730",,,,"$4,677,600"
235,Thomas Sorber,OKC,4655040,4887720,"$5,120,400","$7,849,573",,,"$9,542,760"
236,Kobe Bufkin,ATL,4503720,6904203,,,,,"$4,503,720"
237,Jose Alvarado,NOP,4500000,4500000,,,,,"$4,500,000"
239,Kel'el Ware,MIA,4443360,4654920,"$7,135,992",,,,"$4,443,360"
240,Yang Hansen,POR,4422360,4643520,"$4,864,920","$7,462,788",,,"$9,065,880"
242,Miles McBride,NYK,4333333,3956523,,,,,"$8,289,856"
243,Keyonte George,UTA,4278960,6563925,,,,,"$4,278,960"
244,Jared McCain,PHI,4221360,4422600,"$6,784,268",,,,"$4,221,360"
245,Joan Beringer,MIN,4201080,4411200,"$4,621,200","$7,098,163",,,"$8,612,280"
247,Dalton Knecht,LAL,4010160,4201080,"$6,452,860",,,,"$4,010,160"
249,Walter Clayton,UTA,3991320,4190520,"$4,390,320","$6,752,312",,,"$8,181,840"
250,Jaime Jaquez Jr.,MIA,3861600,5939141,,,,,"$3,861,600"
251,Nolan Traoré,BRK,3811560,4002000,"$4,193,040","$6,457,282",,,"$7,813,560"
252,Tristan Da Silva,ORL,3809520,3991200,"$6,138,466",,,,"$3,809,520"
253,Brandin Podziemski,GSW,3687960,5679459,,,,,"$3,687,960"
254,Svi Mykhailiuk,UTA,3675000,3850000,"$4,025,000",,,,
255,Kasparas Jakucionis,MIA,3658800,3841680,"$4,024,440","$6,205,687",,,"$7,500,480"
256,Ja'Kobe Walter,TOR,3638160,3811800,"$5,870,172",,,,"$3,638,160"
257,Cam Whitmore,WAS,3539760,5458310,,,,,"$3,539,760"
258,Will Riley,WAS,3512520,3688320,"$3,864,000","$6,155,352",,,"$7,200,840"
259,Jaylon Tyson,CLE,3492480,3658560,"$5,641,500",,,,"$3,492,480"
262,Noah Clowney,BRK,3398640,5414034,,,,,"$3,398,640"
263,Drake Powell,BRK,3372240,3540600,"$3,709,320","$6,101,832",,,"$6,912,840"
264,Yves Missi,NOP,3353040,3512760,"$5,595,827",,,,"$3,353,040"
265,Dariq Whitehead,BRK,3262560,5366912,,,,,"$3,262,560"
266,Asa Newell,ATL,3237480,3399480,"$3,560,880","$6,042,814",,,"$6,636,960"
267,DaRon Holmes,DEN,3218760,3372120,"$5,547,138",,,,"$3,218,760"
269,Kris Murray,POR,3132000,5315004,,,,,"$3,132,000"
270,Nique Clifford,SAC,3108120,3263400,"$3,418,800","$5,979,481",,,"$6,371,520"
271,Nassir Little,PHO,3107143,3107143,"$3,107,143","$3,107,143",,,"$12,428,572"
272,AJ Johnson,WAS,3090480,3237120,"$5,493,394",,,,"$3,090,480"
273,Olivier-Maxence Prosper,DAL,3007080,5259383,,,,,"$3,007,080"
274,Shake Milton,LAL,3000000,3287406,,,,,"$6,287,406"
275,Kyle Filipowski,UTA,3000000,3000000,"$3,000,000",,,,"$3,000,000"
276,Julian Champagnie,SAS,3000000,3000000,,,,,
277,Jase Richardson,ORL,2983320,3132360,"$3,282,000","$5,910,882",,,"$6,115,680"
278,Kyshawn George,WAS,2966760,3108000,"$5,435,892",,,,"$2,966,760"
281,Marcus Sasser,DET,2886720,5198983,,,,,"$2,886,720"
282,Ben Saraf,BRK,2884560,3028560,"$3,172,920","$5,720,776",,,"$5,913,120"
283,Pacome Dadiet,NYK,2847600,2983680,"$5,373,608",,,,"$2,847,600"
284,Danny Wolf,BRK,2801280,2941440,"$3,081,840","$5,559,640",,,"$5,742,720"
285,Ben Sheppard,IND,2790720,5031669,,,,,"$2,790,720"
286,Hugo González,BOS,2783880,2923560,"$3,062,640","$5,528,065",,,"$5,707,440"
287,Liam McNeeley,CHO,2763960,2902080,"$3,040,320","$5,487,778",,,"$5,666,040"
288,Dillon Jones,OKC,2753280,2884440,"$5,200,646",,,,"$2,753,280"
289,Yanic Konan Niederhauser,LAC,2743800,2880960,"$3,018,480","$5,448,356",,,"$5,624,760"
290,DaQuan Jeffries,CHO,2743776,3080918,,,,,
291,Nick Smith Jr.,CHO,2710680,4890067,,,,,"$2,710,680"
292,Brice Sensabaugh,UTA,2693760,4862237,,,,,"$2,693,760"
293,Julian Strawther,DEN,2674200,4826931,,,,,"$2,674,200"
294,Terrence Shannon Jr.,MIN,2674080,2801640,"$5,054,159",,,,"$2,674,080"
296,Ryan Dunn,PHO,2657760,2784240,"$5,025,553",,,,"$2,657,760"
297,Kobe Brown,LAC,2654880,4792059,,,,,"$2,654,880"
298,Isaiah Collier,UTA,2638200,2763960,"$4,988,948",,,,"$2,638,200"
299,Baylor Scheierman,BOS,2619000,2744040,"$4,952,993",,,,"$7,697,033"
304,Justin Champagnie,WAS,2349578,2667944,"$3,005,085",,,,"$5,017,522"
306,Jay Huff,IND,2349578,2667944,"$3,005,085",,,,"$2,349,578"
308,Jaden Springer,UTA,2349578,2667944,,,,,
311,Neemias Queta,BOS,2349578,2667944,,,,,
312,Vit Krejci,ATL,2349578,2667944,"$3,005,085",,,,
314,Vince Williams Jr.,MEM,2301587,2489752,,,,,"$2,301,587"
316,Scotty Pippen Jr.,MEM,2270735,2461462,"$2,789,215",,,,"$2,270,735"
320,Moussa Diabaté,CHO,2270735,2461462,,,,,
322,Ricky Council IV,PHI,2221677,2406205,,,,,"$2,221,677"
323,GG Jackson II,MEM,2221677,2406205,,,,,"$2,221,677"
325,Jalen Pickett,DEN,2221677,2406205,,,,,"$2,221,677"
326,Hunter Tyson,DEN,2221677,2406205,,,,,"$2,221,677"
327,Julian Phillips,CHI,2221677,2406205,,,,,"$2,221,677"
329,Jordan Walsh,BOS,2221677,2406205,,,,,"$200,000"
331,Toumani Camara,POR,2221677,2406205,,,,,
332,Leonard Miller,MIN,2221677,2406205,,,,,
333,Andre Jackson Jr.,MIL,2221677,2406205,,,,,
334,Trayce Jackson-Davis,GSW,2221677,2406205,,,,,
335,Craig Porter Jr.,CLE,2221677,2406205,,,,,
336,Mouhamed Gueye,ATL,2221677,2406205,,,,,
337,JaVale McGee,DAL,2208856,2208856,"$2,208,856",,,,"$6,626,568"
338,Tyler Kolek,NYK,2191897,2296271,"$2,486,995",,,,"$4,488,168"
343,Tyler Smith,MIL,1955377,2296271,"$2,486,995",,,,"$4,251,648"
344,Johnny Furphy,IND,1955377,2296271,"$2,486,995",,,,"$4,251,648"
345,Jonathan Mogbo,TOR,1955377,2296271,,,,,"$1,955,377"
346,Jamal Shead,TOR,1955377,2296271,,,,,"$1,955,377"
348,Oso Ighodaro,PHO,1955377,2296271,"$2,486,995",,,,"$1,955,377"
350,Karlo Matković,NOP,1955377,2296271,,,,,"$1,955,377"
352,Jaylen Wells,MEM,1955377,2296271,"$2,486,995",,,,"$1,955,377"
353,Bronny James,LAL,1955377,2296271,"$2,486,995",,,,"$1,955,377"
354,Cam Christie,LAC,1955377,2296271,"$2,486,995",,,,"$1,955,377"
356,Bobi Klintman,DET,1955377,2296271,"$2,486,995",,,,"$1,955,377"
358,Jamison Battle,TOR,1955377,2296271,,,,,
359,Adem Bona,PHI,1955377,2296271,"$2,486,995",,,,
360,Pelle Larsson,MIA,1955377,2296271,,,,,
361,E.J. Liddell,PHO,706898,706898,,,,,"$1,413,796"
362,Mamadi Diakite,MEM,464050,464050,,,,,"$928,100"
363,Ricky Rubio,CLE,424672,424672,,,,,"$849,344"
364,Didi Louzada,POR,268032,268032,"$268,032","$268,032",,,"$1,072,128"
